N,"당신의 의기는 높게 사지만, 만약 당신의 팀이 러시아와 교전 중 문제(상해, 사망 특히 포로)가 생길 시 당신 팀이 우리나라를 외교적으로 굉장히 어려운 상황에 빠지게 만들 수 있습니다. 당신과 당신 팀의 이기적 마음으로 나라에 해를 끼치게 만드는건 분명 문제가 있는 행동입니다."
P,과거에 특전사 출신이 시리아에서 3년간 실전에서 전투한 경험이 있다 한국에 와서 여권 몰수 당했다 전쟁이후 한국에 돌아오면 벌금 및 처벌을 받겠지만 살아서 돌아 온다면 영웅이 될것
N,왜..감?? 한국 정부의 승인이 안 난 상태에서 참전을 하면 어떡하냐. 만약 러시아군 사살하면 러시아 입장에서는 한국이 자국 군인을 상대로 총을 겨누고 죽인거므로 적대국가 선포 및 전쟁이다. 아무리 우크라이나가 안타까워도 우리는 러시아군과 싸울 수 있는 권리가 없음.
N,나간다 공항에서 찍고 가네 저게 어딜봐서 비공식이냐 법을 대놓고 어기냐 가지말라고 위험하다고 금지햇다면 돕고싶어도 못가는거야 법이 왜잇는데 죱같은법이래도 어기면 나라 질서를 더 망치는거라고 저들이 가서 잡히면 어떻하지?? 법을어겨서 갓는데 구해줘야지 협상해야지 별 🐕고생을 해야한다고 절차대로 해야지 만일 저들로 인해 우크라 한국인들이 피해본다면 누가 책임질것이냐 생각들좀 해라 도와준다?? 가서 싸우는것만 생각하냐 도움을 줄수잇는것들 대가리만 굴려도 겁나 많아 저들땜에 우크라 한국인들 우리나라 까지 피해볼수 잇다는 그런것도 생각해
P,"신념과 용기, 희생정신이 없이는 하기 어려운 행동이다. 무사히 돌아오기를 빈다. 미국도 수천 명의 전역군인들이 지원했다.우크라이나 국민들은 죽음의 공포와 절망, 추위와 배고픔에 떨고 있다. 자유민주주의와 그들의 생존을 위해 무언가 할 수 있다면 해야한다. 아무것도 못하는 나자신도 부끄럽다. 정부는 1천만달러 지원했다. 일본은 2억달러 지원한다. 우리나라 경제력 수준에서 부끄럽기 그지없다. 생색만 내는 거다. 남의 고통에 눈감고 내일이 아니라고 생각하다가 정작 우리가 당할 때 누구에게 도움을 요청할 수 있을까?"
N,"국가적인 입장에서 여행금지 때려놨고, 러시아가 지금 하고 있는거 자체가 국제법위반인이고 심지어 개인신분으로 참여라 문제 될 것도 없고 애초에 러시아 개짓거리 해대서 국제법 성립자체가 안되는데 응원은 못할망정 이상한 소리를 해대노..푸틴 하는 짓거리를 봐라~ 공산당 중국 벨라루스 북한 이런대 빼고 누가 편들어주냐? 외국인 개인신분으로 참여한 나라들 빌미로 싸울려면 전세계랑 맞장떠야 하는데 과대망상도 적당히 하고 응원이나 하면서 부정선거나 쳐 잡자"
N,비밀리에 다녀와야 그만한 성과도 더 얻을 수 있을것을 지 스스로 까발려서 타겟이 되어 출발하는건 무슨 전술이야? 군사전문가라며? 몸만 전문가고 머리는 돌이니? 아무리 생각해도 이해가 안되네. 저런 돌머리로 무슨 전술전문가니 군사전문가니 치장을 하는거냐. 허세꾼이여 뭐여. 허경영 군인버전이냐?
N,"정부 허가없이 방문하거나 체류할 경우 <<<--- 이 말은 '허가를 받으면 갈 수 있다' 라는 얘기고, 공식적으로 누구누구 간다고 발표는 못해도 (의용군을 명단 공개하고 보내는 미친 나라는 없다. 다 죽으라고 명단 공개하냐?) 뒤로는 얼마든지 갈 수 있는 개구멍이 있다는 얘긴데 그새를 못참고 무작정 법 어겨가면서 나가는건 행동하는 지성이 아니라 생각은 없고 몸만 쓸줄 아는 머저리라는 뜻이다. 적법하게 절차 거쳐서 가고, 조용히 다녀왔으면 더 좋았잖아. 가는건 뭐하러 밝혀? 러시아 애들한테 타겟이 누구다~ 라고 광고하니?"
N,하..한국이 그동안 의용군 안 보낸게 러시아한테 빌미를 잡히지 않기 위해서 그런건데 만약 이 일로 빌미가 잡히면 그건 외교적으로 심각한 상황이 초래할거임 그 벌은 이근이 모두 책임져야 할거고 아마 이근은 상상을 초월할 비난과 비판을 면치 못할거임일단 응원은 하고 의도는 좋고 다 좋은데 조금 생각이 부족하지 않았나 생각함 비밀리에 갔다 와도 정말 초유의 사건인데 sns에 글까지 올리고 갔다는건 이것까지 생각을 하지 못했나 봄
N,도대체 이걸 왜 칭찬하는거야ㅎㅎ 가서 총쏘지도 않겠지만 가기전에 떠벌리는것도 웃기고 가서 포로되면? 그거 누가 협상하고 누구돈 들어가는데??? 그리고 러시아가 한국이 참여했다고 딴지걸로 난리치면?? 가지말라면 가지마ㅡㅡ 돌아오면 강력하게 처벌 받아라
P,아가리파이터인지 아닌지는 스스로 증명하는거.. 그리고 6.25지원 받았던 우리나라가 해외로 의용군 나가는걸 국내법으로 막아놓고 처벌 운운하는건 잘 못 됐다고 생각한다.. 물론 아무나 나가는건 막아야하는건 맞지만..전직 군인출신중 진짜 뜻이 있는 사람은 본인 확인서 받고 출국 허가해줘라
N,정상적인 댓글이 몇 없네.. 만에 하나라도 참전했다가 러시아군에 포로로 잡히게 되면 개인의 문제가 되는 게 아니라 국가 대 국가 문제로 비화된다. 나 혼자 책임지겠다고 백날 얘기해봐야 이근 국적이 한국이라면 얘기가 달라진다. 본인 행동에 대한 책임을 혼자 지고 싶다고 얘기해봐야 씨알도 먹히지 않는 이야기다.
N,지가 책임질거라고 무모하게 가서 혹시 문제생기면이러지도 저러지도 못할 애매한 상황이 만약 생긴다면 그땐 국가욕할래!? 지가 뭐라도 된마냥 히어로병 도져서 진정 애국이라면 나라의 명령을 따라서 제대로 일을해야지 어디서 sns질하면서 여론을 만들어 무모하고 또 무모한 사람이 아닌가
